,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1551312000000,0.265,0.277,0.2431,0.2477,1491942.14,1551398399999,373882.664808,2485,764365.08,191634.78494,0,2019-02-28,2019-02-28 23:59:59.999
1,1551398400000,0.2478,0.2509,0.245,0.2483,589241.57,1551484799999,145603.292093,1511,120049.37,29723.053084,0,2019-03-01,2019-03-01 23:59:59.999
2,1551484800000,0.2477,0.2588,0.2403,0.2432,901096.63,1551571199999,222011.372575,2309,404917.92,99921.052931,0,2019-03-02,2019-03-02 23:59:59.999
3,1551571200000,0.2432,0.245,0.2372,0.2402,675001.66,1551657599999,163008.613884,1431,374877.38,90677.890828,0,2019-03-03,2019-03-03 23:59:59.999
4,1551657600000,0.2403,0.2416,0.2171,0.2264,1203714.29,1551743999999,274816.156031,2554,472333.16,108070.88775,0,2019-03-04,2019-03-04 23:59:59.999
5,1551744000000,0.2264,0.2407,0.2212,0.2371,959113.49,1551830399999,221389.043936,1930,381759.27,88482.328367,0,2019-03-05,2019-03-05 23:59:59.999
6,1551830400000,0.2371,0.25,0.2314,0.2443,1012343.66,1551916799999,242596.050689,1881,451513.67,108575.842078,0,2019-03-06,2019-03-06 23:59:59.999
7,1551916800000,0.2449,0.2473,0.2361,0.2387,1943239.83,1552003199999,466814.89288,3023,856459.34,205744.333204,0,2019-03-07,2019-03-07 23:59:59.999
8,1552003200000,0.2391,0.245,0.2312,0.2348,2512437.68,1552089599999,596012.282904,3311,857348.86,203623.956695,0,2019-03-08,2019-03-08 23:59:59.999
9,1552089600000,0.2348,0.2619,0.2339,0.2509,3672140.17,1552175999999,914305.322742,5587,1592079.76,396131.056915,0,2019-03-09,2019-03-09 23:59:59.999
10,1552176000000,0.2509,0.274,0.2491,0.2696,5546916.15,1552262399999,1460987.678517,8184,2918265.12,769645.326604,0,2019-03-10,2019-03-10 23:59:59.999
11,1552262400000,0.2696,0.28,0.2477,0.2563,4482131.91,1552348799999,1158070.056093,6511,1669528.53,430976.364968,0,2019-03-11,2019-03-11 23:59:59.999
12,1552348800000,0.2567,0.2785,0.25,0.2708,2582512.37,1552435199999,689416.924119,3894,986495.93,263004.313009,0,2019-03-12,2019-03-12 23:59:59.999
13,1552435200000,0.271,0.2834,0.2604,0.2687,2902930.73,1552521599999,786348.286649,4621,1262920.26,342080.391241,0,2019-03-13,2019-03-13 23:59:59.999
14,1552521600000,0.268,0.2689,0.2481,0.2654,2124131.03,1552607999999,554742.418429,2922,1031430.97,269189.656587,0,2019-03-14,2019-03-14 23:59:59.999
15,1552608000000,0.2659,0.2809,0.2656,0.2717,2037155.9,1552694399999,555812.569628,3135,1080067.42,294634.749933,0,2019-03-15,2019-03-15 23:59:59.999
16,1552694400000,0.2719,0.2758,0.266,0.2694,2161823.98,1552780799999,585227.133918,3402,1039143.8,281274.385099,0,2019-03-16,2019-03-16 23:59:59.999
17,1552780800000,0.2693,0.2695,0.2611,0.2639,1074534.39,1552867199999,283773.267681,1966,505164.05,133413.874693,0,2019-03-17,2019-03-17 23:59:59.999
18,1552867200000,0.2639,0.271,0.2571,0.2597,1037903.61,1552953599999,271724.519851,1645,464478.62,121935.019999,0,2019-03-18,2019-03-18 23:59:59.999
19,1552953600000,0.2598,0.2699,0.2593,0.2668,1080614.84,1553039999999,287349.061682,1557,607956.81,161685.983307,0,2019-03-19,2019-03-19 23:59:59.999
20,1553040000000,0.2673,0.2733,0.2667,0.2714,1091238.87,1553126399999,294817.667456,1689,532609.93,143890.238223,0,2019-03-20,2019-03-20 23:59:59.999
21,1553126400000,0.2714,0.2745,0.251,0.2591,2029823.6,1553212799999,536128.306083,3091,871632.09,230314.29107,0,2019-03-21,2019-03-21 23:59:59.999
22,1553212800000,0.2579,0.274,0.257,0.2725,1566261.22,1553299199999,415535.433137,1989,921740.76,245021.475923,0,2019-03-22,2019-03-22 23:59:59.999
23,1553299200000,0.2725,0.2769,0.2669,0.2699,1434949.26,1553385599999,390167.846162,2197,601819.76,163479.702344,0,2019-03-23,2019-03-23 23:59:59.999
24,1553385600000,0.2685,0.2987,0.2648,0.2908,3488922.33,1553471999999,989390.246829,4986,1545035.47,439748.117315,0,2019-03-24,2019-03-24 23:59:59.999
25,1553472000000,0.2908,0.309,0.2694,0.2757,5549435.88,1553558399999,1602385.327061,7173,2524858.36,732353.118471,0,2019-03-25,2019-03-25 23:59:59.999
26,1553558400000,0.2764,0.2952,0.2707,0.2914,3696062.34,1553644799999,1053111.653689,4994,1547124.54,441086.654398,0,2019-03-26,2019-03-26 23:59:59.999
27,1553644800000,0.2914,0.3098,0.2875,0.3048,3013840.57,1553731199999,901195.997681,4135,1385538.2,414149.529702,0,2019-03-27,2019-03-27 23:59:59.999
28,1553731200000,0.3048,0.3067,0.2938,0.3055,1664731.11,1553817599999,498821.076997,2538,761877.08,228553.765885,0,2019-03-28,2019-03-28 23:59:59.999
29,1553817600000,0.3055,0.3078,0.3,0.3063,1392299.95,1553903999999,422831.740471,2052,544504.79,165400.280209,0,2019-03-29,2019-03-29 23:59:59.999
30,1553904000000,0.3065,0.3239,0.3036,0.3109,2028996.97,1553990399999,632108.755812,3369,879616.39,273739.604451,0,2019-03-30,2019-03-30 23:59:59.999
31,1553990400000,0.3117,0.3277,0.3094,0.3245,1523279.73,1554076799999,485744.056461,2897,701864.79,223946.198743,0,2019-03-31,2019-03-31 23:59:59.999
32,1554076800000,0.324,0.3414,0.3159,0.3327,2050047.46,1554163199999,681820.068468,4565,938994.69,312140.638521,0,2019-04-01,2019-04-01 23:59:59.999
33,1554163200000,0.3327,0.3814,0.32,0.3743,5394853.04,1554249599999,1869731.225214,9645,2380318.76,828673.223688,0,2019-04-02,2019-04-02 23:59:59.999
34,1554249600000,0.376,0.3895,0.3201,0.3504,5170588.51,1554335999999,1905486.605957,10456,2339258.61,860301.887448,0,2019-04-03,2019-04-03 23:59:59.999
35,1554336000000,0.3515,0.3597,0.3248,0.3362,2904962.84,1554422399999,995353.35838,5904,1559621.62,532461.832572,0,2019-04-04,2019-04-04 23:59:59.999
36,1554422400000,0.3365,0.3575,0.3359,0.357,1414997.59,1554508799999,493793.47183,2965,567685.08,198620.661852,0,2019-04-05,2019-04-05 23:59:59.999
37,1554508800000,0.3578,0.3636,0.3475,0.3527,1292454.16,1554595199999,460083.196688,3147,599306.53,213046.2534,0,2019-04-06,2019-04-06 23:59:59.999
38,1554595200000,0.3532,0.37,0.3454,0.3537,2107292.38,1554681599999,757218.632928,4421,822714.85,296363.636432,0,2019-04-07,2019-04-07 23:59:59.999
39,1554681600000,0.354,0.3686,0.3315,0.346,1479290.01,1554767999999,517440.2434,3579,563842.19,197629.785389,0,2019-04-08,2019-04-08 23:59:59.999
40,1554768000000,0.346,0.3681,0.3345,0.3557,1868281.54,1554854399999,660000.131255,4084,819619.85,289837.03305,0,2019-04-09,2019-04-09 23:59:59.999
41,1554854400000,0.3554,0.3568,0.3438,0.3498,1925538.46,1554940799999,675237.159108,3089,818242.22,286948.008819,0,2019-04-10,2019-04-10 23:59:59.999
42,1554940800000,0.3498,0.3498,0.3041,0.3162,1994234.27,1555027199999,647217.657418,4116,955657.74,309487.43633,0,2019-04-11,2019-04-11 23:59:59.999
43,1555027200000,0.3162,0.3276,0.3003,0.3204,1145078.73,1555113599999,360776.291618,2589,533143.98,168181.542867,0,2019-04-12,2019-04-12 23:59:59.999
44,1555113600000,0.3193,0.3236,0.3119,0.3153,523367.22,1555199999999,165709.13885,1104,214868.58,68017.950247,0,2019-04-13,2019-04-13 23:59:59.999
45,1555200000000,0.315,0.3233,0.3071,0.3226,1220403.53,1555286399999,383005.763091,2108,640222.73,201068.217504,0,2019-04-14,2019-04-14 23:59:59.999
46,1555286400000,0.3224,0.334,0.3011,0.3083,1723804.03,1555372799999,549849.444718,3083,784272.18,249524.538886,0,2019-04-15,2019-04-15 23:59:59.999
47,1555372800000,0.308,0.3234,0.3059,0.3225,1388489.86,1555459199999,437757.01732,1844,833106.11,262345.77378,0,2019-04-16,2019-04-16 23:59:59.999
48,1555459200000,0.3225,0.3324,0.3174,0.3309,960859.37,1555545599999,311102.684887,1725,479215.52,155002.617264,0,2019-04-17,2019-04-17 23:59:59.999
49,1555545600000,0.3321,0.3369,0.3273,0.331,1434543.97,1555631999999,476828.479937,2291,724356.87,240959.520289,0,2019-04-18,2019-04-18 23:59:59.999
